Time,User,Page,Data
2022-07-21 07:46:54.527426,admin,DeviceDetails,"{'ID': 'E79028F1N485578', 'deviceId': False, 'location': 'HA 1.OG Raum 15', 'contact': ' ', 'notes': False}"
2022-07-21 07:47:23.547170,admin,DeviceDetails,"{'ID': 'E69498M0J145493', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:47:39.770167,admin,DeviceDetails,"{'ID': 'E69498M0J145493', 'deviceId': 'WJW3385', 'location': 'Metall Werkstatt Büro 1', 'contact': 'Frank Wieland', 'notes': False}"
2022-07-21 07:48:18.983449,admin,DeviceDetails,"{'ID': 'E74554L7J579217', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:48:33.786511,admin,DeviceDetails,"{'ID': 'E74554L7J579217', 'deviceId': False, 'location': 'HA 2.OG Raum 13', 'contact': False, 'notes': False}"
2022-07-21 07:48:56.702193,admin,DeviceDetails,"{'ID': 'E79015J0N198441', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:49:15.847246,admin,DeviceDetails,"{'ID': 'E79015J0N198441', 'deviceId': 'WJW3852', 'location': 'HA 1.OG Raum 8', 'contact': 'Sabine Zieglgänsberger', 'notes': False}"
2022-07-21 07:49:31.354948,admin,DeviceDetails,"{'ID': 'E74552E7J196433', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:49:56.005585,admin,DeviceDetails,"{'ID': 'E74552E7J196433', 'deviceId': False, 'location': 'Debitorenbuchhaltung', 'contact': 'Fr. Vilenius', 'notes': False}"
2022-07-21 07:50:27.034642,admin,DeviceDetails,"{'ID': 'RC69604720', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:50:59.254153,admin,DeviceDetails,"{'ID': 'RC69604720', 'deviceId': False, 'location': 'Dom.Obstbau', 'contact': 'Herr Diehl', 'notes': False}"
2022-07-21 07:51:18.339753,admin,DeviceDetails,"{'ID': 'E79028H1N561157', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:51:48.810912,admin,DeviceDetails,"{'ID': 'E79028H1N561157', 'deviceId': False, 'location': 'HA 1.OG Raum14', 'contact': 'Fr. Antl', 'notes': False}"
